"ID","REVIEW","RATING","AUTHOR","TITLE"
"1","I don't get all the terrible reviews for this movie. Especially because lots of people talk incredible bad of the special effects. It's not Oscar worthy, but is not terrible. It's quite good for such type of movie.It lacks some quality on the script, but which shark movie doesn't?There's some other little mistakes, but overall is watchable. If you are a fan of this genre, o recommend you check it out this one.Ignore the below 4 scores. It's unfair for those who work in this project.","5","margarida-44311"," Not Bad
"
"2","I cannot believe anyone could give this film less than a 6 ,I gave it an 8 because I thought it was well acted great filming and an exciting story, c'mon man what's with all the negativity.","8","joemay-2"," What are all the bad reviews about is it a woke thing
"
"3","Great White is not the worst way to spend 90 minutes but it does have issues. In the film seaplane tour operators Charlie and Kaz with their cook Benny take out a wealthy couple Joji and Michelle to Impervious Reef. There they find a victim of a shark attack and head back. On the way back they see an overturned boat, go to check it out and their plane sinks. They end up in a raft and get stalked by a a couple of great white sharks which are hunting together.There is some tension in the film and the characters don't feel like cheap cardboard cutouts. All of them were fleshed out just enough that the viewer actually cares about what happens to them. The CGI is not great though and this was clearly done on a tight budget. The filmmakers tried to keep the sharks in the darkness and shadows as much as possible and this helps. There are however a few shark scenes that look very poor and this is a problem together with the ludicrous action in the final act as it becomes very unrealistic. Overall the first 30 minutes where the characters are introduced are good, the second act has some suspense but the action in the final third of the film is both unbelievable and predictable at times.Overall this wasn't great given the story line and the budget constraints but was watchable. The acting is mostly decent. The film is not realistic especially in the final third but overall it is better than many shark themed thriller horrors. There are some cool shots and suspenseful moments but it could have been much better if the story was better developed.","4","nebk"," Great White=Jaws Lite
"
"4","Great White is as basic of a killer shark film as possible. Everyday people surviving a pack of ordinary sharks, not super-enhanced, not vengeful, nothing like the Deep Blue Sea or Jaws IV, or Meg, whatever.My guess is that they were aiming at a more grounded approach, and it worked ok until a certain point. I think that real sharks probably wouldn't jump out of the water and intercept you mid-air in a bloody fashion, but this kinda takes away the interest from the film. They provide a bare minimum of information about the characters, but this is still a killer shark film and you expect something different from the very basic and tired concept.My biggest problem with it was that up until 50! Minutes into the film, nothing really happens, they just wrap up the set-up. There is also a very awkward racial or ethnic conflict which I did not understand at all, it just felt super forced.It's not spectacular, it's not gory and fun, it's not original in any way, so while I can say that it was a film, I can't think of a reason for anyone to watch it.","4","kuarinofu"," Bare-bones killer shark film
"
"5","Terrible story, dialogue and CGI. The film has a predictable outcome. But I did like the cinematic wide shots and the overhead birdseye view shots with the sea plane that were done for the first act. Even in SDR, the seascapes were impressive. I can only imagine how much nicer it would have looked in HDR. The rest of the camera work, not so much. I didn't like the rapid closeup edits for the rest of the film.","4","Horror_Flick_Fanatic"," Terrible story, dialogue, and CGI
"
"6","Whilst the 'shark survival' sub genre has plenty of contributors it's probably fair to say that many, if not most, are really let down by either sub standard vfx or by really non committal performances. The few that stand out, including the Reef, The Shallows, and Open Water, do so because they don't skimp on those two very important components. As far as stories go it's very hard to offer much in the way of differentiation. By its very nature the sub genre puts people, mainly young adults admittedly, at the mercy of the ocean's top predatory fish, which through over reliance on the biggest and most recogniseable, as opposed to the most voracious or scheming, becomes a little predictable and trite at times. Great White for me sits firmly in the middle of all these shark movies. It's a predictable story with a predictable setup and outcome. Like many horror movies do, it invites, through its simplicity, audiences to predict who will die when, based on stereotypical characters and character traits. That said, Great White is entertaining enough, blending good performance with live shark footage and enough 'below water, above water' cinematography to induce suspense. What lets it down rather badly are the few occasions where the VFX sharks fall into the Sharknado realm of shoddy and ineffectual. And that's a pity, as with The Shallows level of CGI this could quite easily have avoided the one major pitfall of films in this sub genre - it's too dangerous to get real up close footage to convince. So if you have to fake it - don't appear to be faking it. KONTIKI is your reference if you need to see VFX sharks done seamlessly. Anyway, this is certainly not a bad film, it's entertaining and passable as an entry alongside the films already mentioned. Those who have slammed it unashamedly really are doing it a disservice and frankly their critiques or opinions are little more than the chum that minor characters in this type of film become.","6","NickyDee07938"," A decent effort
"
"7","Much better than the ratings suggest. Its on par with many shark movies out there and this one keeps the tension going throughout and the CGI is ok as well. Better than those horrible syfy shark tv shows.","9","Novelwolf"," Nice Shark movie!
"
"8","First of all I love the film locations, drone footage and a lot of things, but the way the shark looks like, wow.... It's just bad and especially when you get to see it attacking the airplane, really really bad ðthe CGI in this movie is unfortunately terrible, apart from that its ","5","mbnn"," Nice, but could be so much better
"
"9","The film is meh when it comes to these types of films. Characters are lame and stereotypical but is that a bad thing with these films? No, I don't think so but maybe a little more time could be made to build them up a bit.The shark looks bad, very bad. It's amazing that the shark in Jaws looks better and that was in the 70's! One of the biggest issues I have with films today is the use of bad cgi and using camcorders for movies. This one has really bad cgi of the shark.There are better shark films that have come out since Jaws and this is not it. If you have low expectations, as I did, you will probably still be disappointed.","4","phobicsq"," Typical movie for the genre
"
"10","Thought it was a great Shark Movie . Special effects were decent. Everyone stop your complaining. Geezzzz. Great camera work. Definitely worth a watch !","7","rotini-52586"," Liked it !
"
